,id,host_id,comuna,latitude,longitude,bathrooms,bedrooms,beds,price,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,total_price,tipo,ingresos_25p,ingresos_50p,ingresos_75p,ingresos_100p
1533,10656547,55037171,Providencia,-33.43763,-70.63172,2,2,4.0,30161.0,20107.0,0,0,0,134,1,100.0,50268.0,2D+2B,321717.0,472522.0,623327.0,924937.0
1534,10658077,55047968,Las Condes,-33.41233,-70.58674,1,1,2.0,43566.0,0.0,0,0,0,0,28,94.0,43566.0,1D+1B,435660.0,653490.0,871320.0,1306980.0
1536,10681695,55156636,Providencia,-33.41927,-70.60401,1,1,1.0,42896.0,20107.0,0,0,16,291,57,99.0,63003.0,1D+1B,449067.0,663547.0,878027.0,1306987.0
1537,10700797,55287613,Providencia,-33.42237,-70.60866,1,2,1.0,50269.0,0.0,30,60,90,365,1,80.0,50269.0,2D+1B,502690.0,754035.0,1005380.0,1508070.0
1539,10715290,927912,Santiago,-33.44195,-70.65906,1,1,1.0,20107.0,13405.0,0,0,0,73,38,92.0,33512.0,1D+1B,214475.0,315010.0,415545.0,616615.0
1540,10743247,54892647,Las Condes,-33.40467,-70.55631,2,2,4.0,60322.0,46917.0,30,60,90,90,27,96.0,107239.0,2D+2B,650137.0,951747.0,1253357.0,1856577.0
1543,10763180,49215195,Santiago,-33.44493,-70.64049,1,1,1.0,20107.0,0.0,18,43,73,76,67,92.0,20107.0,1D+1B,201070.0,301605.0,402140.0,603210.0
1544,10763250,49215195,Santiago,-33.44621,-70.63991999999999,2,2,2.0,40215.0,0.0,0,14,44,46,64,87.0,40215.0,2D+2B,402150.0,603225.0,804300.0,1206450.0
1545,10764175,17564347,Providencia,-33.4275,-70.61712,2,2,3.0,46917.0,30161.0,14,44,74,74,33,98.0,77078.0,2D+2B,499331.0,733916.0,968501.0,1437671.0
1546,10768842,1171882,Las Condes,-33.40122,-70.57064,1,2,2.0,73057.0,26810.0,20,37,67,247,129,95.0,99867.0,2D+1B,757380.0,1122665.0,1487950.0,2218520.0
1547,10772664,1500534,Providencia,-33.43711,-70.60015,1,1,1.0,34853.0,0.0,29,59,89,364,6,100.0,34853.0,1D+1B,348530.0,522795.0,697060.0,1045590.0
